ticker
AAPL
ABNB
ADBE
ADI
ADP
ADSK
AEP
AMAT
AMGN
AMZN
ANSS
ARM
ASML
AVGO
AZN
BIIB
BKNG
BKR
CCEP
CDNS
CDW
CEG
CHTR
CMCSA
COIN
COST
CPRT
CRWD
CSGP
CSCO
CTAS
CTSH
DASH
DDOG
DLTR
DXCM
EA
EXC
FANG
FAST
FTNT
GEHC
GFS
GILD
GOOG
GOOGL
HON
IDXX
ILMN
INTC
INTU
ISRG
KDP
KHC
KLAC
LIN
LRCX
LULU
MAR
MCHP
MDB
MDLZ
MELI
META
MNST
MRNA
MRVL
MSFT
MU
NFLX
NVDA
NXPI
ODFL
ON
ORLY
PCAR
PANW
PAYX
PDD
PEP
PYPL
QCOM
REGN
ROST
SBUX
SMCI
SNPS
TEAM
TMUS
TSLA
TTD
TTWO
TXN
VRSK
VRTX
WBA
WBD
WDAY
XEL
ZS
